Time_odroid,Current_Time,Latitude,Latitude_direction,Longitude,Longitude_direction,Number_of_satellites
1522234862.28,13:00:46,49.1326046667,N,9.220018,E,08
1522234863.28,13:00:47,49.1325838333,N,9.22003283333,E,08
1522234864.28,13:00:48,49.13259,N,9.22003966667,E,08
1522234865.28,13:00:49,49.132606,N,9.2200445,E,08
1522234866.28,13:00:50,49.1326261667,N,9.22005383333,E,08
1522234867.28,13:00:51,49.1326423333,N,9.22006233333,E,08
1522234868.28,13:00:52,49.1326571667,N,9.22007183333,E,08
1522234869.28,13:00:53,49.1326731667,N,9.22008183333,E,08
1522234870.28,13:00:54,49.1326861667,N,9.22009016667,E,08
1522234871.28,13:00:55,49.1326976667,N,9.22009716667,E,08
1522234872.28,13:00:56,49.1327081667,N,9.22010316667,E,08
1522234873.28,13:00:57,49.1327155,N,9.22010866667,E,08
1522234874.28,13:00:58,49.1327238333,N,9.22011333333,E,08
1522234875.28,13:00:59,49.1327311667,N,9.22011816667,E,08
1522234876.28,13:01:00,49.132738,N,9.22012266667,E,08
1522234877.28,13:01:01,49.1327471667,N,9.22012733333,E,08
1522234878.28,13:01:02,49.1327521667,N,9.22013083333,E,08
1522234879.28,13:01:03,49.132757,N,9.22013466667,E,08
1522234880.28,13:01:04,49.1327595,N,9.220137,E,08
1522234881.28,13:01:05,49.1327618333,N,9.2201395,E,08
1522234882.28,13:01:06,49.1327646667,N,9.220142,E,08
1522234883.28,13:01:07,49.1327665,N,9.22014483333,E,08
1522234884.28,13:01:08,49.1327686667,N,9.220147,E,08
1522234885.28,13:01:09,49.1327703333,N,9.22014816667,E,08
1522234886.28,13:01:10,49.1327733333,N,9.22015033333,E,08
1522234887.28,13:01:11,49.1327758333,N,9.22015183333,E,08
1522234888.28,13:01:12,49.1327773333,N,9.220153,E,08
1522234889.28,13:01:13,49.1327786667,N,9.22015416667,E,08
1522234890.27,13:01:14,49.1327808333,N,9.2201555,E,08
1522234891.28,13:01:15,49.1327816667,N,9.22015633333,E,08
1522234892.28,13:01:16,49.1327821667,N,9.22015783333,E,08
1522234893.28,13:01:17,49.1327828333,N,9.22015916667,E,08
1522234894.28,13:01:18,49.1327831667,N,9.2201605,E,08
1522234895.28,13:01:19,49.1327833333,N,9.22016166667,E,08
1522234896.28,13:01:20,49.1327838333,N,9.22016216667,E,08
1522234897.29,13:01:21,49.132786,N,9.22016366667,E,09
1522234898.28,13:01:22,49.13279,N,9.220165,E,09
1522234899.28,13:01:23,49.1328043333,N,9.22017416667,E,09
1522234900.28,13:01:24,49.1328405,N,9.22018566667,E,09
1522234901.28,13:01:25,49.1328911667,N,9.2202105,E,09
1522234902.28,13:01:26,49.132969,N,9.22022866667,E,09
1522234903.29,13:01:27,49.1330408333,N,9.22025683333,E,09
1522234904.28,13:01:28,49.1331236667,N,9.22027933333,E,09
1522234905.28,13:01:29,49.1332125,N,9.220294,E,09
1522234906.28,13:01:30,49.1333046667,N,9.22030866667,E,09
1522234907.28,13:01:31,49.1333915,N,9.22032316667,E,09
1522234908.28,13:01:32,49.133472,N,9.22033533333,E,09
1522234909.28,13:01:33,49.1335426667,N,9.22034716667,E,09
1522234910.28,13:01:34,49.1336053333,N,9.22035883333,E,09
1522234911.28,13:01:35,49.133655,N,9.2203695,E,09
1522234912.28,13:01:36,49.1336933333,N,9.22037866667,E,09
1522234913.28,13:01:37,49.1337143333,N,9.220384,E,09
1522234914.28,13:01:38,49.1337255,N,9.2203875,E,09
1522234915.28,13:01:39,49.1337321667,N,9.220389,E,09
1522234916.28,13:01:40,49.1337353333,N,9.22038883333,E,09
1522234917.29,13:01:41,49.133738,N,9.2203885,E,09
1522234918.28,13:01:42,49.1337405,N,9.220388,E,09
1522234919.28,13:01:43,49.1337423333,N,9.2203875,E,09
1522234920.28,13:01:44,49.133744,N,9.2203875,E,09
1522234921.28,13:01:45,49.1337461667,N,9.22038616667,E,09
1522234922.28,13:01:46,49.1337481667,N,9.22038533333,E,09
1522234923.28,13:01:47,49.1337495,N,9.22038366667,E,09
1522234924.28,13:01:48,49.1337521667,N,9.22038183333,E,08
1522234925.28,13:01:49,49.1337538333,N,9.22038183333,E,08
1522234926.28,13:01:50,49.1337561667,N,9.2203815,E,08
1522234927.28,13:01:51,49.1337578333,N,9.220381,E,08
1522234928.28,13:01:52,49.1337601667,N,9.22038066667,E,08
1522234929.28,13:01:53,49.1337631667,N,9.2203795,E,09
1522234930.28,13:01:54,49.1337656667,N,9.22037966667,E,09
1522234931.28,13:01:55,49.1337685,N,9.22037966667,E,09
1522234932.28,13:01:56,49.1337716667,N,9.22037833333,E,09
1522234933.28,13:01:57,49.1337748333,N,9.22037716667,E,09
1522234934.28,13:01:58,49.1337783333,N,9.22037633333,E,09
1522234935.28,13:01:59,49.1337918333,N,9.2203795,E,09
1522234936.28,13:02:00,49.1338213333,N,9.22038733333,E,09
1522234937.28,13:02:01,49.1338623333,N,9.22039616667,E,09
1522234938.28,13:02:02,49.133906,N,9.220405,E,09
1522234939.28,13:02:03,49.1339595,N,9.220416,E,09
1522234940.28,13:02:04,49.1340186667,N,9.22042983333,E,09
1522234941.28,13:02:05,49.1340796667,N,9.220441,E,09
1522234942.28,13:02:06,49.1341491667,N,9.22045666667,E,08
1522234943.28,13:02:07,49.1342293333,N,9.22047983333,E,08
1522234944.28,13:02:08,49.1343031667,N,9.220501,E,08
1522234945.28,13:02:09,49.1343763333,N,9.22051966667,E,08
1522234946.28,13:02:10,49.1344498333,N,9.22053733333,E,08
1522234947.28,13:02:11,49.1345313333,N,9.22055283333,E,08
1522234948.28,13:02:12,49.1346066667,N,9.22056383333,E,08
1522234949.28,13:02:13,49.1346868333,N,9.22058316667,E,08
1522234950.27,13:02:14,49.1347746667,N,9.22060183333,E,08
1522234951.28,13:02:15,49.1348595,N,9.22062033333,E,08
1522234952.28,13:02:16,49.1349488333,N,9.22064316667,E,08
1522234953.28,13:02:17,49.1350421667,N,9.22066433333,E,08
1522234954.28,13:02:18,49.1351373333,N,9.22068733333,E,08
1522234955.28,13:02:19,49.1352311667,N,9.22071116667,E,08
1522234956.28,13:02:20,49.1353235,N,9.2207325,E,08
1522234957.28,13:02:21,49.1354146667,N,9.220753,E,08
1522234958.28,13:02:22,49.1355036667,N,9.220768,E,08
1522234959.28,13:02:23,49.1355898333,N,9.220787,E,08
1522234960.28,13:02:24,49.1356758333,N,9.22081166667,E,08
1522234961.28,13:02:25,49.1357568333,N,9.22083066667,E,08
1522234962.28,13:02:26,49.1358086667,N,9.22084316667,E,08
1522234963.28,13:02:27,49.1358686667,N,9.22086,E,08
1522234964.28,13:02:28,49.1359293333,N,9.22087333333,E,08
1522234965.28,13:02:29,49.1359878333,N,9.220884,E,08
1522234966.28,13:02:30,49.1360573333,N,9.22090216667,E,09
1522234967.28,13:02:31,49.1361275,N,9.22091983333,E,09
1522234968.27,13:02:32,49.136199,N,9.220941,E,09
1522234969.28,13:02:33,49.1362778333,N,9.22095783333,E,09
1522234970.28,13:02:34,49.1363561667,N,9.22096416667,E,09
1522234971.28,13:02:35,49.1364525,N,9.22098566667,E,09
1522234972.28,13:02:36,49.1365385,N,9.22100066667,E,09
1522234973.28,13:02:37,49.136636,N,9.2210285,E,09
1522234974.27,13:02:38,49.1367346667,N,9.22105283333,E,09
1522234975.27,13:02:39,49.1368268333,N,9.221072,E,08
1522234976.28,13:02:40,49.1369293333,N,9.2210985,E,09
1522234977.28,13:02:41,49.1370308333,N,9.22112583333,E,08
1522234978.28,13:02:42,49.1371301667,N,9.22114466667,E,08
1522234979.28,13:02:43,49.137231,N,9.22116533333,E,08
1522234980.28,13:02:44,49.137332,N,9.22117966667,E,08
1522234981.28,13:02:45,49.137431,N,9.221188,E,08
